"Design value to translate",翻訳する設計値
"translation to the same value",同値変換
"%s - %s","%s - %s"
"Some non-translated value for Magento_Catalog",Magento_Catalogの翻訳されていない値
"Another non-translated value for Magento_Catalog",Magento_Catalogの別の翻訳されていない値
"Text with different translation on different modules",モジュールごとに翻訳が異なるテキスト
%s,%s
"Original value for Magento_Store module",Magento_Storeモジュールの元の値
"Theme phrase will be translated",テーマフレーズを翻訳します
"Magento_Catalog module phrase will be overridden by theme translation",Magento_Catalogモジュールのフレーズはテーマの翻訳で上書きされます
"Magento_Store module phrase will be overridden by theme translation",Magento_Storeモジュールのフレーズはテーマの翻訳で上書きされます
"No marginal white space please",余白なしでお願いします
"Please select a website for this product in ""Product in Websites"".","この商品のウェブサイトを""ウェブサイト内の商品""で選択してください。"
"Authorization was successful",認証は成功しました
"An error occurred during the callback request from the Adobe service: %error","Adobe サービスからのコールバック要求中にエラーが発生しました: %error"
"An error occurred during get user data. Contact support.",ユーザーデータの取得中にエラーが発生しました。サポートに連絡してください。
"The response is empty.",応答は空です
"Login failed. Please check if <a href=""%1"">the Secret Key</a> is set correctly and try again.","ログインに失敗しました。<a href=""%1"">秘密鍵</a>が正しく設定されているか確認し、再度お試しください。"
"An error occurred during logout operation.",ログアウト操作中にエラーが発生しました。
"An error occurred during user profile save: %error","ユーザプロファイルの保存中にエラーが発生しました: %error"
"User profile with id %id not found.","ID %id を持つユーザ・プロファイルが見つかりません。"
"User profile with user id %id not found.","ユーザ ID %id を持つユーザ・プロファイルが見つかりませんでした。"
"Could not save user profile.",ユーザ・プロファイルを保存できませんでした。
"The user profile wasn't found.",ユーザ・プロファイルが見つかりませんでした。
"Adobe IMS","Adobe IMS"
Logout,ログアウト
"Get User Profile",ユーザープロファイルの取得
button_label,burron_label
"Connection Successful!",接続成功！
"Connection Failed!",接続に失敗しました
"An error occurred during test Adobe Stock API connection","Adobe Stock API接続のテスト中にエラーが発生しました"
"Configure an Adobe Stock account on the %io_link site to retrieve a Private key (Client secret).","%io_link サイトで Adobe Stock アカウントを構成して、秘密鍵 (クライアント秘密) を取得します。"
"Redirect URI: %redirect_uri","リダイレクト URI: %redirect_uri"
"Pattern: %pattern","パターン: %pattern"
"Adobe Stock Integration","Adobe Stock Integration"
"Enabled Adobe Stock","Enabled Adobe Stock"
"API Key (Client ID)",APIキー（クライアントID）
"Client Secret",依頼人の秘密
"Configure an Adobe Stock account on <a href=""https://console.adobe.io"" target=""_blank"">adobe.io</a> to get the API Key (Client ID) and Client Secret. You will not be able to use the integration without both the API Key and Client Secret.","<a href=""https://console.adobe.io"" target=""_blank"">adobe.io</a>でAdobe Stockアカウントを設定し、APIキー（クライアントID）とクライアントシークレットを取得してください。APIキーとクライアントシークレットの両方がないと、統合を使用することはできません。"
"An error occurred during get asset list: %error","アセットリストの取得中にエラーが発生しました: %error"
"Adobe Stock asset with id %id does not exist.","id %id を持つ Adobe Stock アセットが存在しません。"
"Requested image doesn't exists",要求された画像が存在しません
"Failed to authenticate to Adobe Stock API. <br> Please correct the API credentials in <a href=""%1"">Configuration → System → Adobe Stock Integration.</a>","Adobe Stock APIへの認証に失敗しました。<a href=""%1"">設定→システム→Adobe Stock Integration.</a>でAPI認証情報を修正してください。"
"Cannot retrieve assets from Adobe Stock.","Adobe Stockからアセットを取得できません。"
"Could not delete Adobe Stock asset with id %id: %error","Adobe Stock 資産を id %id で削除できませんでした: %error"
"An error occurred during adobe stock asset save: %error","アドビストック資産の保存中にエラーが発生しました: %error"
"Could not delete Adobe Stock asset category with id %id: %error","Adobe Stock資産カテゴリをID %idで削除できませんでした: %error"
"Adobe Stock asset category with id ""%1"" does not exist.","ID ""%1 ""を持つAdobe Stock資産カテゴリが存在しません。"
"Could not delete Adobe Stock asset creator with id %id: %error","ID %idを持つAdobe Stock資産作成者を削除できませんでした: %error"
"Adobe Stock asset creator with id ""%1"" does not exist.","ID ""%1 ""を持つAdobe Stock資産作成者が存在しません。"
"Adobe Stock","Adobe Stock"
Get,得る
"Cannot retrieve the field %1. It's not available in Adobe Stock SDK","フィールド %1 を取得できません。Adobe Stock SDK では使用できません"
"Files ids can not be empty.",ファイルのIDを空にすることはできません
"An error occurred during retrieve files information.",ファイル情報の取得中にエラーが発生しました。
"Could not retrieve files information.",ファイル情報を取得できませんでした
"Adobe API Key is invalid!","Adobe APIキーが無効です"
"Adobe API login has expired!","Adobe APIのログイン期限が切れました。"
". ': %error_message'",". ': %error_message'"
"Create attributes process failed: %error_message","属性の作成プロセスに失敗しました: %error_message"
"Get related images list failed: %error","関連画像リストの取得に失敗しました: %error"
"An error occurred during related images serialization: %error","関連する画像のシリアライズ中にエラーが発生しました: %error"
"Failed to delete the image: %error","画像の削除に失敗しました: %error"
"Image with the same file name already exits.",同じファイル名の画像は既に終了しています。
"An error occurred on attempt to retrieve image licensing information.",画像のライセンス情報を取得しようとしてエラーが発生しました
"Retrieving license information for images failed.",画像のライセンス情報の取得に失敗しました。
"The image was licensed and saved successfully.",画像はライセンスされ、正常に保存されました。
"An error occurred on attempt to license and save the image.",画像のライセンス取得と保存を試みるとエラーが発生しました
"An error occurred on attempt to retrieve user quota.",ユーザークォータを取得しようとしてエラーが発生しました
"You have successfully downloaded the licensed image.",ライセンスされた画像のダウンロードに成功しました。
"An error occurred on attempt to save image.",イメージを保存しようとするとエラーが発生しました
"You have successfully downloaded the image.",イメージのダウンロードに成功しました。
"An error occurred on attempt to save the image.",画像の保存時にエラーが発生しました
"Get related images finished successfully",関連画像の取得は正常に終了しました
"An error occurred on attempt to fetch related images.",関連する画像を取得しようとするとエラーが発生しました。
"Search Adobe Stock",アドビストックを検索
"Requested image doesn't exists.",要求された画像が存在しません
"Localized error",ローカライズされたエラー
Photo,写真
Illustration,イラストレーション
Yes,はい
Licensed,ライセンス
Unlicensed,無免許
Horizontal,水平方向
Vertical,垂直方向
Panoramic,パノラマ
Standard,標準
Premium,プレミアム
"Sort by",並び替え
"Save Preview",プレビュー保存
"License """,ライセンス
"License Adobe Stock Images?","Adobe Stock Imagesのライセンスを取得しますか？"
"Buy Credits",クレジットを購入する
"Your admin role does not have permissions to license an image",あなたの管理者ロールには画像のライセンスを取得する権限がありません
License,ライセンス
"License and Save",ライセンスと保存
"The image cannot be located",画像の位置がわかりません
"We cannot find this image in the media gallery.",メディアギャラリーでこの画像が見つかりません
"Couldn't log you in",ログインできませんでした
"Please name the file using only letters, numbers, underscores and dashes",文字、数字、アンダースコア、ダッシュのみでファイル名を付けてください
"Save Preview Image",プレビュー画像の保存
"License images",ライセンスイメージ
Subcategory,サブカテゴリ
Orientation,オリエンテーション
Color,カラー
"Safe search",安全な検索
"Isolated Only",孤立しているだけ
"Isolated Assets",分離された資産
"Serie Id","Serie Id"
"Model Id","Model Id"
Overlay,オーバーレイ
"Thumbnail Image",サムネイル画像
"Image Preview",画像プレビュー
"Most Recent",最新
Popularity,人気
Undiscovered,未発見
"License Status",ライセンスステータス
ID,身分証明書
No,いいえ
"SKU: ","SKU: "
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","申し訳ありませんが、Magento Analyticsへの登録リクエストを処理する際にエラーが発生しました。後でもう一度お試しください。"
"Error occurred during postponement notification",延期通知中にエラーが発生しました
"Please select an industry.",業種を選択してください
"Command %1"" was not found.""","コマンド %1""が見つかりませんでした。"""
"Retry Synchronization",再試行同期化
"View details",詳細を見る
"An error occurred while subscription process.",サブスクリプション処理中にエラーが発生しました。
API,API
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                ","このサービスは、お客様のビジネスに関する豊富な洞察力を備えたダイナミックなレポートを提供します。
                レポートは、管理パネルの外にあるパーソナライズされたダッシュボード上で、以下をクリックして安全にアクセスできます。
                ""高度なレポートへ移動""リンクをクリックしてください。</br> 詳細については
                <a href=""https://magento.com/legal/terms/privacy"">利用規約</a>。
                "
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magentoのビジネスインテリジェンスは、シンプルで明確なパスを提供します。
                    </br> <a target=""_blank""の詳細については、<a target=""_blank""を参照してください。
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a>ティア。"
"Analytics Subscription",アナリティクスの購読
"powered by Magento Business Intelligence"," powered by Magento Business Intelligence"
"Are you sure you want to opt out?",オプトアウトでよろしいですか？
"Opt out",オプトアウト
